A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_NET_SHORT!PIN_NO_SWAP_PIN!PIN_CDS_PINID!PIN_XNET_PINS!PIN_PIN_SIGNAL_MODEL!
J!f:/pcb/cadence_pcb/fpga_ccd/allegro/fpga_ccd_2.brd!Wed Jun 16 20:18:53 2021!0.00!0.00!21000.00!17000.00!0.01!mils!FPGA_CCD!10.400000 mil!2!OUT OF DATE!
S!+3.3V!C23!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27474\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F74!!!\1\!!!
S!GND!C23!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27474\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F74!!!\2\!!!
S!+3.3V!C24!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS25676\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F73!!!\1\!!!
S!GND!C24!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS25676\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F73!!!\2\!!!
S!+3.3V!C25!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27178\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F72!!!\1\!!!
S!GND!C25!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27178\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F72!!!\2\!!!
S!GND!C27!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27454\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F71!!!\1\!!!
S!+3.3V!C27!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27454\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F71!!!\2\!!!
S!GND!C28!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS29755\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F70!!!\1\!!!
S!N29928!C28!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS29755\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F70!!!\2\!!!
S!+3.3V!C3!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS24308\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F69!!!\1\!!!
S!GND!C3!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS24308\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F69!!!\2\!!!
S!+3.3V!C31!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS35838\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F68!!!\1\!!!
S!GND!C31!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS35838\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F68!!!\2\!!!
S!+3.3V!C32!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS36213\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F67!!!\1\!!!
S!GND!C32!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS36213\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F67!!!\2\!!!
